label_index_08B,class_id,sample_count_total,sample_count_train_original,sample_count_test_original,arabic_label,english_label,final_user_output,arabic_label_needs_fix
243,0244,150,126,24,غائر من,to be jealous of,غائر من,False
244,0245,149,125,24,غائر على,to protect jealously,غائر على,False
245,0246,152,128,24,ودود,affectionate,ودود,False
246,0247,149,125,24,كريم,generous,كريم,False
247,0248,150,126,24,بخيل,miserly,بخيل,False
248,0249,152,128,24,طماع,greedy,طماع,False
249,0250,150,126,24,كذاب,liar,كذاب,False
250,0251,152,128,24,أناني,selfish,أناني,False
251,0252,153,129,24,متكبر,proud,متكبر,False
252,0253,150,126,24,متواضع,humble,متواضع,False
253,0254,150,126,24,شعور,feeling,شعور,False
254,0255,151,127,24,تعب,tired,تعب,False
255,0256,150,126,24,بكاء,crying,بكاء,False
256,0257,151,127,24,احتقار,contempt,احتقار,False
257,0258,150,126,24,اعتماد على الذات,self-dependence,اعتماد على الذات,False
258,0259,151,127,24,خفيف,light,خفيف,False
259,0260,150,126,24,ثقيل,heavy,ثقيل,False
260,0261,150,126,24,قديم,old,قديم,False
261,0262,151,127,24,حسد,envy,حسد,False
262,0263,150,126,24,صدق,believe,صدق,False
263,0264,150,126,24,غدر,betrayal,غدر,False
264,0265,151,127,24,صبر,patient,صبر,False
265,0266,152,128,24,لوم,blame,لوم,False
266,0267,150,126,24,الحق,truth,الحق,False
267,0268,150,126,24,خيانة,treason,خيانة,False
268,0269,152,128,24,إيثار,preference,إيثار,False
269,0270,151,127,24,تضحية,self sacrifice,تضحية,False
270,0271,151,127,24,شفقة,pity,شفقة,False
271,0272,150,126,24,ذكي,intelligent,ذكي,False
272,0273,150,126,24,أمام,in front of,أمام,False
273,0274,150,126,24,بجانب,side,بجانب,False
274,0275,149,125,24,بعيد,far,بعيد,False
275,0276,152,128,24,بين,between,بين,False
276,0277,150,126,24,تحت,under,تحت,False
277,0278,148,124,24,حول,around,حول,False
278,0279,150,126,24,خارج,outside,خارج,False
279,0280,149,125,24,خلف,back,خلف,False
280,0281,150,126,24,داخل,inside,داخل,False
281,0282,151,127,24,فوق,up,فوق,False
282,0283,151,127,24,قريب,near,قريب,False
283,0284,152,128,24,من خلال,through,من خلال,False
284,0285,150,126,24,هنا,here,هنا,False
285,0286,150,126,24,هناك,there,هناك,False
286,0287,152,128,24,يسار,left,يسار,False
287,0288,151,127,24,يمين,right,يمين,False
288,0289,150,126,24,أهلا وسهلاً,welcome,أهلا وسهلاً,False
289,0290,152,128,24,السلام عليكم,greeting,السلام عليكم,False
290,0291,151,127,24,تفضل,here you are,تفضل,False
291,0292,150,126,24,جار,neighbor,جار,False
292,0293,150,126,24,شكراً,thanks,شكراً,False
293,0294,150,126,24,صديق,friend,صديق,False
294,0295,151,127,24,ضيف,guest,ضيف,False
295,0296,152,128,24,عدو,enemy,عدو,False
296,0297,150,126,24,عيب,fault,عيب,False
297,0298,150,126,24,هدية,gift,هدية,False
298,0299,151,127,24,بيت,house,بيت,False
299,0300,151,127,24,جدار,wall,جدار,False
300,0301,151,127,24,سقف,roof,سقف,False
301,0302,150,126,24,باب,door,باب,False
302,0303,152,128,24,شباك,window,شباك,False
303,0304,149,125,24,غرفة,room,غرفة,False
304,0305,153,129,24,غرفة نوم,bedroom,غرفة نوم,False
305,0306,151,127,24,سرير,bed,سرير,False
306,0307,151,127,24,مرتبة سرير ( حشية),mattress,مرتبة سرير ( حشية),False
307,0308,150,126,24,شرشف ( غطاء سرير),bedsheet,شرشف ( غطاء سرير),False
308,0309,150,126,24,وسادة ( مخدة),pillow,وسادة ( مخدة),False
309,0310,150,126,24,شماعة ( مشجب),clothes rail,شماعة ( مشجب),False
310,0311,151,127,24,خزانة ملابس,wardrobe,خزانة ملابس,False
311,0312,151,127,24,مطبخ,kitchen,مطبخ,False
312,0313,151,127,24,فرن غازي,Oven,فرن غازي,False
313,0314,150,126,24,بوتاغاز (طابخ),cooker,بوتاغاز (طابخ),False
314,0315,150,126,24,طبق ( صحن),dish,طبق ( صحن),False
315,0316,150,126,24,سكين,knife,سكين,False
316,0317,150,126,24,شوكة,fork,شوكة,False
317,0318,150,126,24,ملعقة,spoon,ملعقة,False
318,0319,150,126,24,فنجان,cupful,فنجان,False
319,0320,149,125,24,مجمد (فريزر),freezer,مجمد (فريزر),False
320,0321,150,126,24,كأس ( كوب),cup,كأس ( كوب),False
321,0322,150,126,24,حافظ حرارة ( ترمس),thermos,حافظ حرارة ( ترمس),False
322,0323,154,130,24,غرفة طعام,food room,غرفة طعام,False
323,0324,150,126,24,إبريق,pitcher,إبريق,False
324,0325,150,126,24,طاولة,table,طاولة,False
325,0326,150,126,24,كنكة ( دلة),dalah,كنكة ( دلة),False
326,0327,151,127,24,دورة مياه (حمام),bathroom,دورة مياه (حمام),False
327,0328,154,130,24,كرسي,chair,كرسي,False
328,0329,149,125,24,غسالة,washing machine,غسالة,False
329,0330,152,128,24,منشفة,towel carpet,منشفة,False
330,0331,151,127,24,سجادة (زربية),carpet,سجادة (زربية),False
331,0332,150,126,24,موكيت ( فرش أرضي) moquette,moquette,موكيت ( فرش أرضي) moquette,False
332,0333,150,126,24,ثريا (نجفة),chandelier,ثريا (نجفة),False
333,0334,150,126,24,مسجل,cassette,مسجل,False
334,0335,151,127,24,شريط كاست,cassette tape,شريط كاست,False
335,0336,149,125,24,تلفزيون (تلفاز),television,تلفزيون (تلفاز),False
336,0337,149,125,24,طبق هوائي (دش),satellite,طبق هوائي (دش),False
337,0338,149,125,24,شريط فيديو,video tape,شريط فيديو,False
338,0339,150,126,24,كاميرا فيديو,video camera,كاميرا فيديو,False
339,0340,150,126,24,كاميرا فوتوغرافية,photo camera,كاميرا فوتوغرافية,False
340,0341,150,126,24,هاتف ( تلفون),telephone,هاتف ( تلفون),False
341,0342,150,126,24,غرفة ضيوف,guests room,غرفة ضيوف,False
342,0343,150,126,24,فيديو,video,فيديو,False
343,0344,150,126,24,مبخرة,censer,مبخرة,False
344,0345,150,126,24,مدفأة,heater,مدفأة,False
345,0346,150,126,24,مفتاح,key,مفتاح,False
346,0347,150,126,24,مروحة,fan,مروحة,False
347,0348,125,101,24,تدفئة مركزية,central heater,تدفئة مركزية,False
348,0349,150,126,24,كهرباء,electrics,كهرباء,False
349,0350,150,126,24,مكيف,air conditioner,مكيف,False
350,0351,150,126,24,سلك كهربائي,wire,سلك كهربائي,False
351,0352,150,126,24,قابس كهربائي ( فيش),plug,قابس كهربائي ( فيش),False
352,0353,151,127,24,حقيبة سفر,bag,حقيبة سفر,False
353,0354,150,126,24,مكواة,iron,مكواة,False
354,0355,150,126,24,ميزان حرارة جوي,thermometer,ميزان حرارة جوي,False
355,0356,151,127,24,الله تعالى,God,الله تعالى,False
356,0357,149,125,24,محمد رسول الله,Muhammad is the Messenger of Allah,محمد رسول الله,False
357,0358,150,126,24,عيسى المسيح,Essa Christ,عيسى المسيح,False
358,0359,150,126,24,القرآن الكريم,The Holy Quran,القرآن الكريم,False
359,0360,150,126,24,الخلفاء الراشدون,Rightly Guided Caliphs,الخلفاء الراشدون,False
360,0361,149,125,24,السنة النبوية,Sunnah,السنة النبوية,False
361,0362,150,126,24,أركان الإسلام,Pillars of Islam,أركان الإسلام,False
362,0363,125,101,24,أركان الإيمان,Pillars of Faith,أركان الإيمان,False
363,0364,125,101,24,الشهادتين,The two certificates,الشهادتين,False
364,0365,150,126,24,يصلي / الصلاة,pray,يصلي / الصلاة,False
365,0366,150,126,24,الزكاة,zakat,الزكاة,False
366,0367,153,129,24,الصوم,Fasting,الصوم,False
367,0368,150,126,24,العمرة,Umrah,العمرة,False
368,0369,150,126,24,الحج,Pilgrimage,الحج,False
369,0370,150,126,24,ملائكة,Angels,ملائكة,False
370,0371,150,126,24,رسول,messenger,رسول,False
371,0372,150,126,24,يوم القيامة,Doomsday,يوم القيامة,False
372,0373,150,126,24,القضاء والقدر,Fate and destiny,القضاء والقدر,False
373,0374,150,126,24,أركان الصلاة,Pillars of prayer,أركان الصلاة,False
374,0375,157,133,24,خير,Good,خير,False
375,0376,151,127,24,النية,Intention,النية,False
376,0377,150,126,24,شر,Evil,شر,False
377,0378,150,126,24,طهارة,purity,طهارة,False
378,0379,149,125,24,مبطلات الصلاة,Prayer invalidators,مبطلات الصلاة,False
379,0380,150,126,24,تيمم,tayammum,تيمم,False
380,0381,150,126,24,يتوضأ / وضوء,ablution,يتوضأ / وضوء,False
381,0382,150,126,24,يؤذن,authorized,يؤذن,False
382,0383,150,126,24,مسح على الخفين,Wipe on the slippers,مسح على الخفين,False
383,0384,150,126,24,صلاة الفجر,Al-fajr prayer,صلاة الفجر,False
384,0385,150,126,24,صلاة الظهر,Salat Aduher,صلاة الظهر,False
385,0386,151,127,24,صلاة العصر,Asr prayer,صلاة العصر,False
386,0387,126,107,19,صلاة المغرب,Maghreb's prayer,صلاة المغرب,False
387,0388,125,106,19,صلاة العشاء,eshaa pray,صلاة العشاء,False
388,0389,150,126,24,خطبة,speech,خطبة,False
389,0390,150,126,24,خطبة الجمعة,Friday sermon,خطبة الجمعة,False
390,0391,154,130,24,خطيب,Fiance,خطيب,False
391,0392,150,126,24,خطبة العيد,Eid sermon,خطبة العيد,False
392,0393,151,127,24,مسجد,Mosque,مسجد,False
393,0394,150,126,24,سورة,surah,سورة,False
394,0395,150,126,24,إمام,Before,إمام,False
395,0396,150,126,24,سورة الفاتحة,Al-Fatihah,سورة الفاتحة,False
396,0397,150,126,24,آية,any,آية,False
397,0398,150,126,24,ليلة القدر,Night of Power,ليلة القدر,False
398,0399,150,126,24,عيد,Feast,عيد,False
399,0400,150,126,24,عيد الفطر,Eid al-Fitr,عيد الفطر,False
400,0401,149,125,24,عيد الأضحى,Eid al-Adha,عيد الأضحى,False
401,0402,151,127,24,إحرام,Ihram,إحرام,False
402,0403,150,126,24,مكة,Mecca,مكة,False
403,0404,150,126,24,الكعبة,Kaaba,الكعبة,False
404,0405,150,126,24,المدينة المنورة,Medina,المدينة المنورة,False
405,0406,150,126,24,منى,Mona,منى,False
406,0407,151,127,24,جبل عرفات,Arafat Mountain,جبل عرفات,False
407,0408,150,126,24,الصفا والمروة,Safa and Marwa,الصفا والمروة,False
408,0409,151,127,24,مزدلفة,Muzdalifah,مزدلفة,False
409,0410,150,126,24,رمي الجمرات,Throwing pebbles,رمي الجمرات,False
410,0411,150,126,24,طواف,circumambulation,طواف,False
411,0412,150,126,24,ماء زمزم,Zamzam water,ماء زمزم,False
412,0413,150,126,24,الأضحية,the sacrifice,الأضحية,False
413,0414,149,125,24,فك الإحرام,break the ihram,فك الإحرام,False
414,0415,150,126,24,طواف الوداع,farewell circumambulation,طواف الوداع,False
415,0416,150,126,24,المسجد الأقصى,Al-Aqsa Mosque,المسجد الأقصى,False
416,0417,151,127,24,يسبح,swim,يسبح,False
417,0418,150,126,24,الحمد لله,Thank God,الحمد لله,False
418,0419,153,129,24,سبحان الله,How great is our God,سبحان الله,False
419,0420,149,125,24,إيمان,Faith,إيمان,False
420,0421,150,126,24,الشرك بالله,Polytheism,الشرك بالله,False
421,0422,148,124,24,أعوذ بالله,I seek refuge in God,أعوذ بالله,False
422,0423,150,126,24,شيطان,Satan,شيطان,False
423,0424,152,128,24,جن,genie,جن,False
424,0425,151,127,24,الضالون,the lost,الضالون,False
425,0426,150,126,24,المغضوب عليهم,angered them,المغضوب عليهم,False
426,0427,157,133,24,صنم,fetish,صنم,False
427,0428,150,126,24,زنى,fornication,زنى,False
428,0429,150,126,24,الجنة,the Paradise,الجنة,False
429,0430,149,125,24,النار,fire,النار,False
430,0431,152,128,24,روح,spirit,روح,False
431,0432,151,127,24,حقوق,rights,حقوق,False
432,0433,149,125,24,واجبات,Duties,واجبات,False
433,0434,150,126,24,حسنات,Deeds,حسنات,False
434,0435,151,127,24,سيئات,sins,سيئات,False
435,0436,148,124,24,حلال,halal,حلال,False
436,0437,150,126,24,حرام,forbidden,حرام,False
437,0438,150,126,24,مغفرة,forgiveness,مغفرة,False
438,0439,150,126,24,دين,religion,دين,False
439,0440,151,127,24,مسيحي,Christian,مسيحي,False
440,0441,151,127,24,يهودي,Jewish,يهودي,False
441,0442,151,127,24,كنيسة,church,كنيسة,False
442,0443,150,126,24,إسراء ومعراج,Isra and Miraj,إسراء ومعراج,False
443,0444,150,126,24,حواء,Eve,حواء,False
444,0445,148,124,24,آدم,Adam,آدم,False
445,0446,149,125,24,صدقة,charity,صدقة,False
446,0447,148,124,24,نبي,Prophet,نبي,False
447,0448,149,125,24,هداية,guidance,هداية,False
448,0449,149,125,24,أمانة,honesty,أمانة,False
449,0450,151,127,24,شهيد,martyr,شهيد,False
450,0451,150,126,24,حقوق الوالدين,Parental rights,حقوق الوالدين,False
451,0452,150,126,24,عقوق الوالدين,Disobedience to parents,عقوق الوالدين,False
452,0453,152,128,24,مسلم,Muslim,مسلم,False
453,0454,151,127,24,رحمة,Mercy,رحمة,False
454,0455,150,126,24,عيد رأس السنة,New Year's Holiday,عيد رأس السنة,False
455,0456,149,125,24,فروض,homework,فروض,False
456,0457,153,129,24,قبة الصخرة,Dome of the Rock,قبة الصخرة,False
457,0458,152,128,24,خلق,Create,خلق,False
458,0459,151,127,24,مهندس,engineer,مهندس,False
459,0460,152,128,24,مصور فوتوغرافي,photographer,مصور فوتوغرافي,False
460,0461,152,128,24,جزار / قصاب,Meat man,جزار / قصاب,False
461,0462,151,127,24,سائق,driver,سائق,False
462,0463,150,126,24,صائغ,jeweler,صائغ,False
463,0464,151,127,24,خادم,servant,خادم,False
464,0465,151,127,24,رئيس قسم,chairman,رئيس قسم,False
465,0466,151,127,24,حداد,blacksmith,حداد,False
466,0467,151,127,24,لحام كهربائي,weld,لحام كهربائي,False
467,0468,150,126,24,مترجم لغة الإشارة,Sign language translator,مترجم لغة الإشارة,False
468,0469,151,127,24,مذيع,announcer,مذيع,False
469,0470,151,127,24,مترجم لغات,translator,مترجم لغات,False
470,0471,151,127,24,مدير,manager,مدير,False
471,0472,150,126,24,سفير,ambassador,سفير,False
472,0473,152,128,24,وزير,minister,وزير,False
473,0474,151,127,24,ملك / سلطان,King,ملك / سلطان,False
474,0475,151,127,24,أمير البلاد / رئيس الجمهورية,Premier Minister,أمير البلاد / رئيس الجمهورية,False
475,0476,151,127,24,شيخ,sheikh,شيخ,False
476,0477,150,126,24,محافظ / وال,governor,محافظ / وال,False
477,0478,152,128,24,ولي عهد / وكيل وزارة,under secretary of state,ولي عهد / وكيل وزارة,False
478,0479,152,128,24,رئيس مجلس الشعب (النواب),speaker,رئيس مجلس الشعب (النواب),False
